path.html:845 [map-load] session:start Object
path.html:852 [map-load] newGame:start Object
path.html:852 [map-load] generatePuzzle:start Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] makeUnique:end Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] findUpToTwoSolutions:end Object
path.html:861 [map-load] makeUnique:end Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] makeUnique:end Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:861 [map-load] generatePuzzle:end Object
path.html:852 [map-load] generatePuzzle:start Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] findUpToTwoSolutions:end Object
path.html:861 [map-load] makeUnique:end Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:861 [map-load] generatePuzzle:end Object
path.html:852 [map-load] generatePuzzle:start Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:861 [map-load] findHamiltonian:end Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] findUpToTwoSolutions:end Object
path.html:861 [map-load] makeUnique:end Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] findUpToTwoSolutions:end Object
path.html:861 [map-load] makeUnique:end Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] makeUnique:end Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] makeUnique:end Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:861 [map-load] generatePuzzle:end Object
path.html:852 [map-load] generatePuzzle:start Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] findUpToTwoSolutions:end Object
path.html:861 [map-load] findUpToTwoSolutions:end Object
path.html:861 [map-load] makeUnique:end Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] findUpToTwoSolutions:end Object
path.html:861 [map-load] makeUnique:end Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] makeUnique:end Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] findUpToTwoSolutions:end Object
path.html:861 [map-load] makeUnique:end Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] findUpToTwoSolutions:end Object
path.html:861 [map-load] makeUnique:end Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] makeUnique:end Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:852 [map-load] generateOneCandidate:start Object
path.html:852 [map-load] makeUnique:start Object
path.html:861 [map-load] makeUnique:end Object
path.html:861 [map-load] generateOneCandidate:end Object
path.html:861 [map-load] generatePuzzle:end Object
path.html:852 [map-load] buildBoard:start Object
path.html:861 [map-load] buildBoard:end Object
path.html:861 [map-load] newGame:end Object
path.html:884 [map-load] session:end 98280ms
path.html:1 Unsafe attempt to load URL file:///Users/cobeo/Codes/path-game/path.html from frame with URL file:///Users/cobeo/Codes/path-game/path.html. 'file:' URLs are treated as unique security origins.

path.html:852 [map-load] buildBoard:start {R: 8, C: 8, playable: 60}
path.html:861 [map-load] buildBoard:end {name: 'buildBoard', durationMs: 3.4, status: 'success', cellCount: 64}
